employee,date,arrival_time,departure_time
Charlie,2024-08-06,09:33,16:42
Mia,2024-08-08,08:01,15:55
Tina,2024-08-02,08:45,17:17
Liam,2024-08-23,10:53,19:17
Alice,2024-08-31,08:26,17:43
Julia,2024-08-18,10:26,19:56
Steve,2024-08-03,09:41,19:19
Nora,2024-08-28,09:44,19:20
Bob,2024-08-03,10:37,18:12
Kevin,2024-08-22,10:27,18:54
Alice,2024-08-07,09:58,17:54
Steve,2024-08-19,10:24,20:22
David,2024-08-18,09:42,19:06
Kevin,2024-08-08,09:35,19:29
Quentin,2024-08-15,10:00,17:03
Bob,2024-08-27,10:25,19:13
Emma,2024-08-05,09:46,17:26
Mia,2024-08-01,09:28,17:40
Charlie,2024-08-03,10:48,18:38
Kevin,2024-08-14,09:44,19:07
Hannah,2024-08-08,10:52,18:33
Paula,2024-08-10,08:16,16:51
Hannah,2024-08-24,10:51,19:54
Tina,2024-08-04,08:04,16:10
Steve,2024-08-27,09:44,16:52
Paula,2024-08-07,09:48,17:54
Julia,2024-08-17,08:09,16:58
Kevin,2024-08-31,08:15,16:06
Isaac,2024-08-15,09:28,18:45
Mia,2024-08-11,08:17,17:00
Tina,2024-08-10,08:21,17:39
Paula,2024-08-31,10:33,19:49
Liam,2024-08-10,09:26,18:00
Julia,2024-08-26,09:50,18:15
Alice,2024-08-30,10:38,20:06
Fiona,2024-08-19,10:56,19:32
Quentin,2024-08-19,10:31,19:03
Oliver,2024-08-04,09:34,18:17
Bob,2024-08-16,09:16,17:14
Charlie,2024-08-31,09:48,19:16
Isaac,2024-08-01,10:59,19:44
Kevin,2024-08-14,09:35,17:05
Oliver,2024-08-21,08:37,17:32
Hannah,2024-08-02,10:39,18:53
Alice,2024-08-04,08:32,15:46
Bob,2024-08-11,08:08,18:01
Nora,2024-08-31,08:54,16:20
Steve,2024-08-10,08:12,17:15
Oliver,2024-08-07,09:36,19:26
Alice,2024-08-25,08:25,16:52
Steve,2024-08-15,09:31,19:01
Liam,2024-08-31,08:02,16:10
Hannah,2024-08-21,09:00,17:36
Tina,2024-08-19,08:17,17:26
Alice,2024-08-02,10:29,19:07
Steve,2024-08-14,10:23,18:00
Hannah,2024-08-24,08:33,17:04
Mia,2024-08-03,08:59,16:41
Nora,2024-08-10,09:54,18:02
Paula,2024-08-04,08:55,16:00
Emma,2024-08-27,10:28,19:52
Steve,2024-08-17,08:18,16:40
George,2024-08-11,08:41,17:18
Fiona,2024-08-20,09:28,17:28
Emma,2024-08-28,10:11,20:06
Mia,2024-08-23,09:21,17:42
Mia,2024-08-18,10:04,19:02
George,2024-08-25,08:13,16:40
Isaac,2024-08-19,08:53,17:33
Steve,2024-08-15,08:18,17:37
Rachel,2024-08-09,10:35,18:10
Rachel,2024-08-18,09:05,16:27
Nora,2024-08-28,09:28,17:25
Emma,2024-08-08,09:18,18:16
Rachel,2024-08-24,09:16,18:23
Bob,2024-08-25,10:29,18:25
Kevin,2024-08-03,09:32,18:52
Quentin,2024-08-31,10:26,17:53
Alice,2024-08-28,09:12,18:03
Julia,2024-08-20,08:38,16:32
Tina,2024-08-13,08:36,16:57
Alice,2024-08-08,09:17,18:24
Nora,2024-08-31,08:24,16:09
Tina,2024-08-15,10:54,20:33
Fiona,2024-08-21,10:15,19:33
Alice,2024-08-18,09:20,16:26
Nora,2024-08-17,10:44,18:43
Kevin,2024-08-21,10:40,18:48
Quentin,2024-08-21,08:45,17:31
Nora,2024-08-05,09:54,18:48
Alice,2024-08-19,10:14,19:35
Isaac,2024-08-05,10:46,19:42
Fiona,2024-08-06,08:39,17:12
Mia,2024-08-24,10:17,19:05
George,2024-08-28,09:49,19:12
Paula,2024-08-07,09:50,18:21
George,2024-08-16,09:52,17:00
Julia,2024-08-19,09:30,16:49
Isaac,2024-08-06,08:27,17:54
Isaac,2024-08-12,08:29,15:53
Mia,2024-08-19,08:31,16:59
Fiona,2024-08-22,09:16,18:10
George,2024-08-16,08:37,15:52
Liam,2024-08-14,10:18,19:39
Quentin,2024-08-07,09:30,17:20
Steve,2024-08-01,09:16,17:07
Charlie,2024-08-25,09:57,17:24
Nora,2024-08-04,09:23,17:32
Liam,2024-08-03,08:11,15:23
Alice,2024-08-31,09:54,19:11
George,2024-08-29,10:58,18:42
Mia,2024-08-11,09:02,16:07
David,2024-08-07,10:58,19:16
Liam,2024-08-25,09:16,18:37
Fiona,2024-08-08,08:04,17:23
Charlie,2024-08-13,09:05,18:39
Liam,2024-08-05,08:58,16:26
Bob,2024-08-17,08:47,17:44
Tina,2024-08-27,10:00,17:41
Liam,2024-08-07,08:35,15:49
Mia,2024-08-14,09:38,19:32
Quentin,2024-08-28,09:14,17:44
Kevin,2024-08-16,08:25,18:13
Liam,2024-08-03,09:51,19:44
Bob,2024-08-26,10:32,18:21
Emma,2024-08-05,09:02,16:02
Tina,2024-08-28,10:08,18:16
Mia,2024-08-31,10:54,20:16
Liam,2024-08-10,08:26,16:44
Liam,2024-08-05,08:51,18:34
Bob,2024-08-23,10:28,17:46
David,2024-08-13,10:03,18:36
Fiona,2024-08-16,10:40,19:14
Nora,2024-08-31,09:08,18:48
Liam,2024-08-24,10:46,17:54
Bob,2024-08-10,08:55,18:52
David,2024-08-10,10:39,19:53
Quentin,2024-08-08,08:52,18:48
Nora,2024-08-22,08:06,18:05
Isaac,2024-08-25,10:52,20:24
Isaac,2024-08-12,10:26,18:42
Tina,2024-08-09,08:59,17:10
Hannah,2024-08-08,08:01,15:53
Fiona,2024-08-14,08:20,16:23
Tina,2024-08-05,10:24,18:05
Quentin,2024-08-29,09:00,17:57
Julia,2024-08-05,09:27,18:31
Liam,2024-08-06,10:00,18:10
Fiona,2024-08-02,08:40,18:23
Charlie,2024-08-22,10:09,18:12
Julia,2024-08-09,09:19,17:55
Kevin,2024-08-23,08:54,16:01
Hannah,2024-08-06,10:46,17:51
Rachel,2024-08-01,10:40,18:37
Alice,2024-08-26,09:59,17:26
Emma,2024-08-07,08:52,17:00
Rachel,2024-08-03,08:11,17:42
Steve,2024-08-15,09:01,17:41
Bob,2024-08-21,09:44,18:18
Isaac,2024-08-22,08:53,18:41
Alice,2024-08-31,08:26,16:09
George,2024-08-11,09:40,17:49
Oliver,2024-08-04,09:05,18:08
Bob,2024-08-12,08:38,18:11
David,2024-08-08,10:17,19:00
Paula,2024-08-26,09:19,19:08
Emma,2024-08-31,10:55,18:19
Tina,2024-08-13,08:47,18:10
Kevin,2024-08-15,08:03,17:08
Isaac,2024-08-09,09:56,19:34
Paula,2024-08-03,09:05,16:56
Fiona,2024-08-07,09:12,16:59
Mia,2024-08-26,08:18,16:55
Mia,2024-08-28,09:21,17:29
Hannah,2024-08-27,10:06,18:06
Tina,2024-08-15,09:09,18:23
Fiona,2024-08-21,08:53,18:01
Oliver,2024-08-29,09:58,17:32
Julia,2024-08-05,10:54,19:13
Oliver,2024-08-07,10:28,19:03
Liam,2024-08-19,08:59,18:43
Steve,2024-08-13,08:39,17:28
Tina,2024-08-24,08:43,16:49
Quentin,2024-08-14,09:16,18:36
Tina,2024-08-15,10:38,19:37
Alice,2024-08-29,08:45,16:08
Tina,2024-08-22,08:32,18:07
David,2024-08-23,10:41,19:21
Mia,2024-08-05,10:33,20:13
Quentin,2024-08-13,09:18,18:03
Julia,2024-08-31,09:24,17:13
Liam,2024-08-05,09:09,18:15
Isaac,2024-08-10,10:43,18:06
George,2024-08-26,08:22,17:16
Paula,2024-08-16,09:42,17:50
Alice,2024-08-14,08:33,16:58
George,2024-08-25,10:28,20:05
Steve,2024-08-07,09:10,18:38
Emma,2024-08-27,08:33,16:47
Rachel,2024-08-25,09:37,18:11
Mia,2024-08-24,08:08,16:26
Mia,2024-08-26,09:22,16:34
Charlie,2024-08-14,08:22,18:10
Liam,2024-08-13,10:29,19:50
Charlie,2024-08-24,10:35,19:02
Paula,2024-08-04,10:45,20:03
Fiona,2024-08-21,09:58,18:48
Liam,2024-08-17,09:43,18:58
Alice,2024-08-17,08:37,17:44
Nora,2024-08-21,08:37,17:50
Hannah,2024-08-02,09:22,16:47
Paula,2024-08-27,10:02,18:35
Steve,2024-08-13,08:51,18:11
Quentin,2024-08-28,10:50,18:34
Julia,2024-08-10,10:16,19:22
Hannah,2024-08-03,08:57,18:41
Julia,2024-08-26,09:49,18:13
David,2024-08-17,08:42,18:37
Kevin,2024-08-20,08:30,17:36
Fiona,2024-08-15,08:24,15:32
Mia,2024-08-23,08:11,16:53
Emma,2024-08-05,09:46,17:11
Fiona,2024-08-04,08:06,16:21
Tina,2024-08-03,10:32,18:14
Alice,2024-08-18,10:16,18:09
Nora,2024-08-25,09:39,17:30
Bob,2024-08-04,10:32,17:47
Julia,2024-08-02,09:58,17:23
George,2024-08-09,08:43,17:36
Isaac,2024-08-21,08:50,16:07
Paula,2024-08-25,10:19,20:10
Isaac,2024-08-29,08:10,17:10
Paula,2024-08-09,10:48,18:08
Nora,2024-08-05,10:31,20:26
Fiona,2024-08-30,08:53,17:24
Bob,2024-08-14,08:24,17:47
George,2024-08-17,10:30,18:07
Julia,2024-08-28,10:34,20:14
Alice,2024-08-20,10:01,17:27
David,2024-08-29,08:31,18:16
George,2024-08-13,10:14,19:16
Kevin,2024-08-17,09:28,16:50
Liam,2024-08-20,09:02,18:08
Emma,2024-08-11,10:13,20:06
Julia,2024-08-05,09:45,17:36
